Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Hazardous Waste Description,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,Number of Containers,Container Type,Total Quantity in Shipment,Units for Quantity in Shipment,quant final,units final,Applicable EPA Hazardous Waste Code(s),Expected Management Method Code,Expected Management Method Code description,Port of Entry City,Port of Entry State,Receiving Facility EPA ID Number 2,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State,Receiving Facility Zip Code
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,125,P - Pounds,56.699,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,35,P - Pounds,15.87572,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY CONTAINED IN MANUFACTURED ARTICLES (MERCURY),UN2809,Mercury,,,,168,P - Pounds,76.203456,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,119,P - Pounds,53.977448,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,50,P - Pounds,22.6796,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,85,P - Pounds,38.55532,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,25,P - Pounds,11.3398,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,36,P - Pounds,16.329312,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY CONTAINED IN MANUFACTURED ARTICLES (MERCURY),UN2809,Mercury,,,,181,P - Pounds,82.100152,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY CONTAINED IN MANUFACTURED ARTICLES (MERCURY),UN2809,Mercury,,,,46,P - Pounds,20.865232,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
