Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Hazardous Waste Description,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,Number of Containers,Container Type,Total Quantity in Shipment,Units for Quantity in Shipment,quant final,units final,Applicable EPA Hazardous Waste Code(s),Expected Management Method Code,Expected Management Method Code description,Port of Entry City,Port of Entry State,Receiving Facility EPA ID Number 2,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State,Receiving Facility Zip Code
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE BUTADIENES, STABILIZED",UN1010,"Butadienes, stabilized or Butadienes and Hydrocarbon mixture, stabilized, containing more than 40% butadienes",,2,CY - Cylinders,2,K - Kilograms,2,kg,D001,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE DIMETHYLAMINE, ANHYDROUS",UN1032,"Dimethylamine, anhydrous",,8,CY - Cylinders,8,K - Kilograms,8,kg,D001,H121,Neutralization only (no other treatment) ,PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE METHYLAMINE, ANHYDROUS",UN1061,"Methylamine, anhydrous",,9,CY - Cylinders,9,K - Kilograms,9,kg,D001,H121,Neutralization only (no other treatment) ,PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE SILANE, COMPRESSED",UN2203,Silane,,3,CY - Cylinders,3,K - Kilograms,3,kg,D001,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE COMPRESSED GAS, FLAMMABLE, NOS (ETHYLENE OXIDE INHALATION HAZARD ZONE D)",UN1954,"Compressed gas, flammable, n.o.s.",,1,CY - Cylinders,1,K - Kilograms,1,kg,D001,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE COMPRESSED GAS, FLAMMABLE, NOS (PENTANE)",UN1954,"Compressed gas, flammable, n.o.s.",,1,CY - Cylinders,1,K - Kilograms,1,kg,D001,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE NATURAL GAS, COMPRESSED (METHANE)",UN1971,"Methane, compressed or Natural gas, compressed (with high methane content)",,1,CY - Cylinders,1,K - Kilograms,1,kg,D001,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,WASTE PROPANE,UN1978,"Propane see also Petroleum gases, liquefied",,2,CY - Cylinders,2,K - Kilograms,2,kg,D001,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE VINYL CHLORIDE, INHIBITED OR VINYL CHLORIDE, STABILIZED",UN1086,"Vinyl chloride, stabilized  ",,1,CY - Cylinders,1,K - Kilograms,1,kg,D001,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,002913240 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE COMPRESSED GASES, NOS (METHANE/OXYGEN IN NITROGEN)",UN1956,"Compressed gas, n.o.s.",,3,CY - Cylinders,3,K - Kilograms,3,kg,D001,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",PORT HURON,MI,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
